Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.03,22,61,1.31,3.84E-01
h,0.03,30,62,0.4,8.14E-03
h,0.03,14,63,0.36,5.73E-02
h,0.03,12,64,0.26,4.31E-02
h,0.03,34,65,0.4,4.71E-03
h,0.03,23,66,1.2,5.07E-01
h,0.03,14,67,0.0,4.33E-05
h,0.03,20,68,0.44,5.38E-02
h,0.03,4,69,0.0,8.35E-02
h,0.03,15,70,0.2,6.16E-03
h,0.03,17,71,0.17,1.64E-03
h,0.03,21,72,0.8,7.49E-01
h,0.03,38,73,0.35,5.32E-04
h,0.03,21,74,0.8,7.49E-01
h,0.03,32,75,1.91,9.76E-03
h,0.03,23,76,0.27,2.31E-03
h,0.03,24,77,0.12,1.41E-05
h,0.03,26,78,0.17,4.10E-05
h,0.03,18,79,0.08,6.99E-05
h,0.03,24,80,0.65,3.14E-01
h,0.03,17,81,0.4,5.62E-02
h,0.03,19,82,0.6,2.65E-01
h,0.03,27,83,0.77,4.88E-01
h,0.03,33,84,0.85,7.00E-01
h,0.03,24,85,0.06,9.80E-07
h,0.03,10,86,0.33,1.05E-01
h,0.03,29,87,0.27,4.21E-04
h,0.03,29,88,0.42,1.39E-02
h,0.03,42,89,0.73,2.69E-01
h,0.03,18,90,0.37,3.22E-02
h,0.03,48,91,0.19,4.51E-08
h,0.03,29,92,0.59,1.23E-01
h,0.03,12,93,0.26,4.31E-02
h,0.03,25,94,0.41,1.80E-02
h,0.03,24,95,0.54,1.24E-01
h,0.03,16,96,0.3,2.44E-02
h,0.03,37,97,0.07,1.64E-09
h,0.03,41,98,0.75,3.13E-01
h,0.03,35,99,0.08,6.68E-09
h,0.03,29,100,0.8,5.88E-01
h,0.04,11,1,1.09,8.12E-01
h,0.04,13,3,0.82,8.40E-01
h,0.04,7,4,0.0,8.31E-03
h,0.04,18,5,0.83,8.62E-01
h,0.04,16,6,1.02,8.49E-01
h,0.04,19,7,0.6,2.65E-01
h,0.04,21,8,0.8,7.49E-01
h,0.04,13,9,0.82,8.40E-01
h,0.04,13,10,0.82,8.40E-01
