Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.2,1339,17,1.07,8.49E-02
h,0.2,1360,18,0.89,7.32E-03
h,0.2,1373,19,0.96,3.77E-01
h,0.2,1375,20,0.97,4.23E-01
h,0.2,1247,21,1.02,6.95E-01
h,0.2,1315,22,1.13,3.64E-03
h,0.2,1208,23,1.05,2.38E-01
h,0.2,1128,24,0.91,3.03E-02
h,0.2,1083,25,0.81,9.08E-06
h,0.2,1101,26,1.05,3.05E-01
h,0.2,1189,27,1.1,2.06E-02
h,0.2,1057,28,1.03,5.86E-01
h,0.2,1095,29,1.01,7.45E-01
h,0.2,1099,30,0.85,4.54E-04
h,0.2,1158,31,1.0,1.00E+00
h,0.2,954,32,0.99,8.24E-01
h,0.2,854,33,1.26,5.39E-06
h,0.2,1128,34,1.04,3.46E-01
h,0.2,993,35,1.49,5.45E-18
h,0.2,767,36,1.0,9.78E-01
h,0.2,808,37,1.03,5.89E-01
h,0.2,702,38,1.0,9.54E-01
h,0.2,708,39,1.08,1.53E-01
h,0.2,611,40,1.17,7.96E-03
h,0.2,662,41,1.11,7.35E-02
h,0.2,710,42,1.18,2.95E-03
h,0.2,536,43,1.25,4.66E-04
h,0.2,674,44,1.52,4.70E-14
h,0.2,570,45,1.39,6.89E-08
h,0.2,523,46,1.13,5.49E-02
h,0.2,496,47,1.07,3.31E-01
h,0.2,493,48,1.05,4.45E-01
h,0.2,457,49,1.1,1.67E-01
h,0.2,414,50,1.0,9.40E-01
h,0.2,507,51,0.98,8.66E-01
h,0.2,395,52,1.33,1.38E-04
h,0.2,332,53,1.23,1.10E-02
h,0.2,435,54,1.14,5.99E-02
h,0.2,383,55,1.34,8.81E-05
h,0.2,313,56,1.02,8.29E-01
h,0.2,310,57,1.27,3.95E-03
h,0.2,375,58,1.64,2.78E-11
h,0.2,375,59,1.4,9.11E-06
h,0.2,324,60,1.26,4.94E-03
h,0.2,359,61,1.72,1.02E-12
h,0.2,359,62,1.53,2.23E-08
h,0.2,304,63,1.43,1.79E-05
h,0.2,213,64,0.71,2.11E-03
h,0.2,349,65,2.15,1.20E-23
h,0.2,224,66,1.13,2.10E-01
h,0.2,223,67,0.83,9.51E-02
h,0.2,232,68,1.28,9.45E-03
h,0.2,218,69,1.72,2.35E-08
h,0.2,220,70,1.26,1.99E-02
h,0.2,186,71,1.49,2.21E-04
h,0.2,214,72,1.8,2.52E-09
h,0.2,169,73,1.09,4.38E-01
h,0.2,163,74,1.03,7.64E-01
h,0.2,184,75,1.36,3.74E-03
h,0.2,167,76,1.17,1.60E-01
h,0.2,76,77,0.32,1.08E-07
h,0.2,139,78,1.29,4.01E-02
h,0.2,181,79,0.39,1.90E-12
h,0.2,126,80,1.15,2.94E-01
h,0.2,84,81,0.36,2.25E-07
h,0.2,90,82,0.5,1.59E-04
h,0.2,124,83,1.22,1.16E-01
h,0.2,140,84,2.5,1.85E-14
h,0.2,97,85,1.08,5.82E-01
h,0.2,151,86,1.77,9.44E-07
h,0.2,70,87,1.31,1.21E-01
h,0.2,97,88,1.04,7.56E-01
h,0.2,72,89,1.1,5.22E-01
h,0.2,125,90,2.77,5.68E-16
h,0.2,49,91,0.29,7.94E-06
h,0.2,94,92,2.01,1.87E-06
h,0.2,63,93,1.35,9.91E-02
h,0.2,127,94,1.24,8.83E-02
h,0.2,84,95,1.44,2.32E-02
h,0.2,153,96,2.08,2.13E-10
h,0.2,53,97,1.46,5.09E-02
h,0.2,49,98,0.76,3.03E-01
h,0.2,41,99,0.92,9.07E-01
h,0.2,32,100,0.89,7.93E-01
h,0.21,217,1,0.61,9.25E-06
h,0.21,157,2,0.63,4.48E-04
h,0.21,1510,3,0.67,2.88E-23
h,0.21,1124,4,0.64,2.80E-20
h,0.21,1319,5,0.72,1.12E-13
h,0.21,1806,6,0.8,1.77E-09
h,0.21,1672,7,0.75,4.62E-14
h,0.21,1672,8,0.88,4.73E-04
h,0.21,1806,9,0.87,8.14E-05
h,0.21,1875,10,0.98,5.24E-01
h,0.21,1826,11,1.07,6.52E-02
h,0.21,1760,12,0.97,4.33E-01
h,0.21,1791,13,0.97,4.16E-01
h,0.21,1638,14,1.01,8.64E-01
h,0.21,1714,15,0.99,8.82E-01
h,0.21,1624,16,1.14,3.56E-04
h,0.21,1607,17,1.11,3.46E-03
h,0.21,1547,18,0.87,3.13E-04
h,0.21,1438,19,0.95,1.87E-01
h,0.21,1403,20,0.97,4.16E-01
h,0.21,1450,21,1.32,8.35E-13
h,0.21,1300,22,1.16,3.73E-04
h,0.21,1176,23,1.09,4.04E-02
h,0.21,1116,24,0.9,1.66E-02
h,0.21,1130,25,0.96,4.29E-01
h,0.21,1095,26,1.09,5.94E-02
h,0.21,1124,27,1.0,9.82E-01
h,0.21,1005,28,1.21,3.55E-05
h,0.21,1054,29,1.34,7.23E-11
h,0.21,1090,30,1.11,2.01E-02
h,0.21,1091,31,1.0,9.45E-01
h,0.21,902,32,1.25,3.52E-06
h,0.21,892,33,1.53,1.09E-18
h,0.21,993,34,1.03,4.78E-01
h,0.21,870,35,1.42,1.49E-12
h,0.21,675,36,1.03,5.74E-01
h,0.21,653,37,1.07,2.50E-01
h,0.21,646,38,1.25,1.15E-04
h,0.21,676,39,1.43,1.18E-10
h,0.21,555,40,1.2,3.33E-03
h,0.21,576,41,1.05,4.22E-01
h,0.21,519,42,1.19,5.92E-03
h,0.21,434,43,0.93,3.68E-01
h,0.21,494,44,1.42,1.17E-07
h,0.21,413,45,1.11,1.45E-01
h,0.21,426,46,1.18,2.38E-02
h,0.21,399,47,1.45,3.45E-07
h,0.21,391,48,1.09,2.39E-01
h,0.21,331,49,0.96,6.48E-01
h,0.21,311,50,0.98,8.30E-01
h,0.21,374,51,1.06,4.02E-01
h,0.21,272,52,1.19,4.37E-02
h,0.21,219,53,0.93,5.11E-01
h,0.21,325,54,1.28,2.33E-03
h,0.21,240,55,1.26,1.47E-02
h,0.21,187,56,0.95,7.41E-01
h,0.21,261,57,1.53,1.82E-06
h,0.21,290,58,1.52,8.97E-07
h,0.21,244,59,1.56,1.24E-06
h,0.21,255,60,1.2,5.27E-02
h,0.21,254,61,1.53,2.98E-06
h,0.21,289,62,1.74,6.96E-11
h,0.21,227,63,2.18,1.37E-16
h,0.21,170,64,0.47,1.12E-08
h,0.21,246,65,1.87,5.47E-12
h,0.21,167,66,1.26,4.04E-02
h,0.21,160,67,0.74,2.01E-02
h,0.21,134,68,1.06,6.41E-01
h,0.21,191,69,2.26,2.09E-15
h,0.21,83,70,0.41,6.94E-06
h,0.21,197,71,2.37,1.34E-17
h,0.21,102,72,1.07,5.93E-01
h,0.21,97,73,0.84,3.32E-01
h,0.21,119,74,1.33,3.08E-02
h,0.21,97,75,1.08,5.82E-01
h,0.21,121,76,1.28,5.67E-02
h,0.21,69,77,1.27,1.75E-01
h,0.21,79,78,1.48,1.42E-02
h,0.21,156,79,0.47,3.30E-08
h,0.21,52,80,0.58,2.76E-02
h,0.21,45,81,0.37,4.45E-04
h,0.21,42,82,1.31,2.11E-01
h,0.21,63,83,0.86,5.16E-01
h,0.21,43,84,0.51,1.32E-02
h,0.21,43,85,0.63,8.84E-02
h,0.21,133,86,3.03,1.01E-19
h,0.21,49,87,2.96,5.76E-08
h,0.21,49,88,0.9,7.50E-01
h,0.21,44,89,1.19,4.03E-01
h,0.21,71,90,2.13,7.26E-06
h,0.21,46,91,0.41,9.43E-04
h,0.21,58,92,2.9,7.16E-09
h,0.21,53,93,1.58,1.89E-02
h,0.21,58,94,0.46,8.53E-04
h,0.21,28,95,0.22,1.49E-04
h,0.21,62,96,1.49,3.26E-02
h,0.21,31,97,0.38,4.73E-03
h,0.21,29,98,0.92,8.90E-01
h,0.21,22,99,1.31,3.84E-01
h,0.21,30,100,1.49,1.23E-01
h,0.22,219,1,0.61,1.22E-05
h,0.22,161,2,0.64,6.24E-04
h,0.22,1582,3,0.69,2.74E-21
h,0.22,1136,4,0.61,1.53E-25
h,0.22,1371,5,0.72,8.33E-15
h,0.22,1838,6,0.81,2.36E-09
h,0.22,1708,7,0.76,4.06E-13
h,0.22,1722,8,0.89,1.21E-03
h,0.22,1843,9,0.87,9.47E-05
h,0.22,1925,10,0.97,3.65E-01
h,0.22,1839,11,1.03,4.71E-01
h,0.22,1780,12,0.98,5.26E-01
h,0.22,1823,13,0.97,3.90E-01
h,0.22,1671,14,1.0,9.40E-01
h,0.22,1724,15,0.99,8.68E-01
h,0.22,1660,16,1.16,5.52E-05
h,0.22,1615,17,1.12,1.96E-03
h,0.22,1591,18,0.89,2.47E-03
h,0.22,1457,19,0.99,9.04E-01
h,0.22,1374,20,0.97,5.24E-01
h,0.22,1478,21,1.34,9.72E-15
h,0.22,1301,22,1.06,1.62E-01
h,0.22,1169,23,1.09,3.98E-02
h,0.22,1147,24,0.93,1.09E-01
h,0.22,1137,25,0.96,4.30E-01
h,0.22,1071,26,1.1,3.36E-02
h,0.22,1121,27,1.0,9.45E-01
h,0.22,997,28,1.15,2.94E-03
h,0.22,1059,29,1.33,2.81E-10
h,0.22,1084,30,1.18,2.02E-04
h,0.22,1067,31,0.97,5.30E-01
h,0.22,894,32,1.26,1.77E-06
h,0.22,849,33,1.44,3.47E-13
h,0.22,1013,34,1.09,7.81E-02
h,0.22,856,35,1.35,1.99E-09
h,0.22,666,36,1.01,9.06E-01
h,0.22,653,37,1.08,1.72E-01
h,0.22,608,38,1.25,2.34E-04
h,0.22,668,39,1.47,5.96E-12
h,0.22,577,40,1.33,3.29E-06
h,0.22,563,41,0.98,7.49E-01
h,0.22,493,42,1.23,1.97E-03
h,0.22,432,43,0.96,6.11E-01
h,0.22,480,44,1.44,3.46E-08
h,0.22,408,45,1.03,6.76E-01
h,0.22,399,46,1.24,3.96E-03
h,0.22,383,47,1.5,3.60E-08
h,0.22,415,48,0.84,3.02E-02
h,0.22,311,49,0.94,4.96E-01
h,0.22,310,50,1.03,6.95E-01
h,0.22,307,51,1.54,2.23E-07
h,0.22,270,52,1.27,8.19E-03
h,0.22,205,53,0.91,4.05E-01
h,0.22,322,54,1.29,1.89E-03
h,0.22,243,55,1.23,2.75E-02
h,0.22,190,56,1.06,6.15E-01
h,0.22,218,57,1.38,1.23E-03
h,0.22,278,58,1.53,1.08E-06
h,0.22,225,59,1.57,2.35E-06
h,0.22,240,60,1.2,5.17E-02
h,0.22,249,61,1.73,1.78E-09
h,0.22,280,62,1.64,9.65E-09
h,0.22,196,63,2.69,9.03E-23
h,0.22,153,64,0.6,1.40E-04
h,0.22,205,65,1.45,2.41E-04
h,0.22,158,66,1.48,6.64E-04
h,0.22,117,67,0.49,9.50E-06
h,0.22,127,68,1.13,3.31E-01
h,0.22,199,69,2.41,2.12E-18
h,0.22,77,70,0.32,8.48E-08
h,0.22,196,71,2.3,2.73E-16
h,0.22,93,72,1.07,6.30E-01
h,0.22,89,73,0.97,9.36E-01
h,0.22,109,74,1.28,7.55E-02
h,0.22,90,75,0.91,6.37E-01
h,0.22,117,76,1.33,3.51E-02
h,0.22,61,77,1.26,2.16E-01
h,0.22,63,78,1.19,3.20E-01
h,0.22,144,79,0.37,4.40E-11
h,0.22,52,80,0.53,8.38E-03
h,0.22,37,81,0.36,9.26E-04
h,0.22,49,82,0.98,1.00E+00
h,0.22,65,83,0.82,3.65E-01
h,0.22,36,84,0.65,1.60E-01
h,0.22,41,85,0.68,1.53E-01
h,0.22,123,86,4.05,4.56E-28
h,0.22,49,87,2.96,5.76E-08
h,0.22,45,88,0.87,6.59E-01
h,0.22,44,89,2.8,1.03E-06
h,0.22,67,90,2.19,5.30E-06
h,0.22,51,91,0.65,7.73E-02
h,0.22,59,92,2.75,2.98E-08
h,0.22,46,93,2.23,1.23E-04
h,0.22,52,94,0.53,8.38E-03
h,0.22,27,95,0.23,2.81E-04
h,0.22,60,96,1.6,1.09E-02
h,0.22,24,97,0.06,9.80E-07
h,0.22,30,98,0.87,7.87E-01
h,0.22,10,99,1.31,4.43E-01
h,0.22,30,100,1.49,1.23E-01
h,0.23,245,1,0.58,2.01E-07
h,0.23,182,2,0.78,3.66E-02
h,0.23,1722,3,0.67,5.12E-26
h,0.23,1265,4,0.72,2.61E-13
h,0.23,1538,5,0.75,1.76E-13
h,0.23,1974,6,0.79,4.64E-12
h,0.23,1846,7,0.76,1.86E-14
h,0.23,1896,8,0.92,1.24E-02
h,0.23,1958,9,0.94,5.67E-02
h,0.23,2090,10,0.98,4.61E-01
h,0.23,1922,11,0.95,1.86E-01
h,0.23,1927,12,1.04,2.58E-01
h,0.23,1949,13,1.0,9.44E-01
h,0.23,1739,14,1.03,4.47E-01
h,0.23,1715,15,0.94,7.00E-02
h,0.23,1690,16,1.22,4.46E-08
h,0.23,1672,17,1.17,2.05E-05
h,0.23,1600,18,0.88,1.28E-03
h,0.23,1474,19,0.98,6.19E-01
h,0.23,1429,20,1.1,1.72E-02
h,0.23,1464,21,1.39,7.66E-18
h,0.23,1355,22,1.16,1.94E-04
h,0.23,1123,23,0.98,6.49E-01
h,0.23,1123,24,1.01,7.48E-01
h,0.23,1074,25,0.94,2.30E-01
h,0.23,1104,26,1.11,1.72E-02
h,0.23,1114,27,1.04,3.80E-01
h,0.23,913,28,1.05,2.83E-01
h,0.23,1048,29,1.46,3.77E-17
h,0.23,992,30,1.08,1.09E-01
h,0.23,995,31,0.99,7.90E-01
h,0.23,858,32,1.23,4.11E-05
h,0.23,750,33,1.32,2.23E-07
h,0.23,941,34,1.03,4.82E-01
h,0.23,781,35,1.26,1.55E-05
h,0.23,655,36,1.12,5.82E-02
h,0.23,571,37,1.0,9.75E-01
h,0.23,606,38,1.54,2.00E-13
h,0.23,600,39,1.54,2.42E-13
h,0.23,564,40,1.48,1.19E-10
h,0.23,448,41,0.96,6.17E-01
h,0.23,435,42,1.18,1.67E-02
h,0.23,407,43,1.05,5.42E-01
h,0.23,457,44,1.75,7.09E-17
h,0.23,340,45,0.89,1.84E-01
h,0.23,349,46,1.39,2.29E-05
h,0.23,330,47,1.34,3.25E-04
h,0.23,365,48,0.86,6.94E-02
h,0.23,272,49,0.91,3.65E-01
h,0.23,277,50,1.06,5.17E-01
h,0.23,232,51,1.12,2.60E-01
h,0.23,239,52,1.11,2.67E-01
h,0.23,224,53,1.28,1.13E-02
h,0.23,280,54,1.62,2.74E-08
h,0.23,198,55,1.2,7.13E-02
h,0.23,166,56,1.08,5.09E-01
h,0.23,181,57,1.11,3.55E-01
h,0.23,231,58,1.54,6.17E-06
h,0.23,190,59,1.39,1.87E-03
h,0.23,220,60,1.07,4.99E-01
h,0.23,212,61,1.64,6.22E-07
h,0.23,237,62,1.64,1.30E-07
h,0.23,143,63,2.35,5.16E-13
h,0.23,146,64,0.62,5.40E-04
h,0.23,138,65,1.27,5.52E-02
h,0.23,161,66,1.7,2.90E-06
h,0.23,93,67,0.48,5.23E-05
h,0.23,85,68,0.83,3.03E-01
h,0.23,171,69,2.24,1.16E-13
h,0.23,83,70,0.78,1.77E-01
h,0.23,158,71,2.31,1.04E-13
h,0.23,46,72,0.36,2.57E-04
h,0.23,68,73,0.71,1.01E-01
h,0.23,99,74,1.28,8.89E-02
h,0.23,65,75,0.71,1.12E-01
h,0.23,87,76,1.53,4.97E-03
h,0.23,31,77,0.94,1.00E+00
h,0.23,46,78,1.2,4.12E-01
h,0.23,129,79,0.3,2.37E-13
h,0.23,54,80,0.5,4.33E-03
h,0.23,27,81,0.65,2.26E-01
h,0.23,31,82,1.81,1.66E-02
h,0.23,53,83,0.93,8.37E-01
h,0.23,30,84,0.4,8.14E-03
h,0.23,27,85,0.65,2.26E-01
h,0.23,153,86,8.68,6.08E-76
h,0.23,52,87,3.22,1.81E-09
h,0.23,35,88,0.98,1.00E+00
h,0.23,26,89,4.35,9.37E-08
h,0.23,65,90,2.55,7.10E-08
h,0.23,45,91,0.79,3.88E-01
h,0.23,27,92,2.61,3.04E-04
h,0.23,25,93,1.2,5.22E-01
h,0.23,26,94,0.17,4.10E-05
h,0.23,26,95,0.58,1.37E-01
h,0.23,49,96,2.06,3.16E-04
h,0.23,19,97,0.0,1.07E-06
h,0.23,16,98,0.3,2.44E-02
h,0.23,11,99,0.75,8.27E-01
h,0.23,27,100,1.9,1.49E-02
h,0.24,283,1,0.63,1.79E-06
h,0.24,188,2,0.69,1.92E-03
h,0.24,1803,3,0.67,4.62E-27
h,0.24,1313,4,0.72,4.90E-14
h,0.24,1639,5,0.76,1.01E-12
h,0.24,2025,6,0.79,2.36E-12
h,0.24,1939,7,0.77,1.52E-13
h,0.24,1983,8,0.94,6.77E-02
h,0.24,2009,9,0.94,6.69E-02
h,0.24,2172,10,1.01,8.17E-01
h,0.24,2011,11,0.96,2.02E-01
h,0.24,1980,12,1.06,8.59E-02
h,0.24,1951,13,1.01,8.61E-01
h,0.24,1774,14,0.99,8.41E-01
h,0.24,1758,15,0.95,1.68E-01
h,0.24,1648,16,1.24,3.61E-09
h,0.24,1645,17,1.16,4.64E-05
h,0.24,1598,18,0.89,3.02E-03
h,0.24,1470,19,0.94,1.01E-01
h,0.24,1442,20,1.15,2.05E-04
h,0.24,1480,21,1.38,2.22E-17
h,0.24,1331,22,1.12,3.86E-03
h,0.24,1110,23,1.04,4.31E-01
h,0.24,1115,24,1.01,8.36E-01
h,0.24,1051,25,0.9,2.83E-02
h,0.24,1122,26,1.25,2.24E-07
h,0.24,1112,27,1.06,2.01E-01
h,0.24,895,28,1.03,5.90E-01
h,0.24,1063,29,1.48,2.14E-18
h,0.24,984,30,1.04,3.76E-01
h,0.24,931,31,0.91,7.28E-02
h,0.24,837,32,1.27,3.66E-06
h,0.24,735,33,1.44,1.64E-11
h,0.24,921,34,1.05,3.47E-01
h,0.24,731,35,1.13,2.02E-02
h,0.24,618,36,1.16,1.22E-02
h,0.24,550,37,0.89,8.10E-02
h,0.24,535,38,1.33,6.40E-06
h,0.24,571,39,1.54,1.16E-12
h,0.24,484,40,1.35,6.73E-06
h,0.24,395,41,1.13,1.07E-01
h,0.24,430,42,1.22,4.42E-03
h,0.24,366,43,0.97,7.52E-01
h,0.24,444,44,1.71,3.74E-15
h,0.24,316,45,0.94,4.73E-01
h,0.24,320,46,1.37,1.14E-04
h,0.24,297,47,1.57,9.14E-08
h,0.24,374,48,0.84,2.78E-02
h,0.24,245,49,0.8,2.90E-02
h,0.24,266,50,1.12,1.96E-01
h,0.24,226,51,1.56,4.49E-06
h,0.24,231,52,1.15,1.63E-01
h,0.24,207,53,1.2,7.79E-02
h,0.24,268,54,1.49,6.18E-06
h,0.24,175,55,1.35,6.52E-03
h,0.24,133,56,0.98,9.48E-01
h,0.24,163,57,1.23,7.02E-02
h,0.24,206,58,1.68,2.48E-07
h,0.24,235,59,2.14,2.43E-16
h,0.24,216,60,1.06,5.29E-01
h,0.24,180,61,1.71,5.37E-07
h,0.24,147,62,0.85,2.49E-01
h,0.24,143,63,2.35,5.16E-13
h,0.24,96,64,0.54,3.84E-04
h,0.24,144,65,1.73,5.67E-06
h,0.24,131,66,1.59,2.43E-04
h,0.24,93,67,0.53,4.11E-04
h,0.24,80,68,0.83,3.26E-01
h,0.24,151,69,2.21,7.04E-12
h,0.24,80,70,0.78,1.96E-01
h,0.24,159,71,2.54,1.31E-16
h,0.24,43,72,0.35,2.49E-04
h,0.24,72,73,0.99,1.00E+00
h,0.24,79,74,1.09,6.00E-01
h,0.24,52,75,0.88,6.81E-01
h,0.24,86,76,1.73,4.50E-04
h,0.24,23,77,0.7,3.75E-01
h,0.24,48,78,1.31,1.97E-01
h,0.24,123,79,0.28,1.84E-13
h,0.24,46,80,0.7,1.73E-01
h,0.24,25,81,0.51,7.76E-02
h,0.24,29,82,0.92,8.90E-01
h,0.24,44,83,0.9,8.22E-01
h,0.24,25,84,0.33,4.52E-03
h,0.24,22,85,0.75,5.39E-01
h,0.24,149,86,8.93,1.07E-75
h,0.24,50,87,3.05,1.87E-08
h,0.24,34,88,1.03,8.95E-01
h,0.24,27,89,3.1,2.34E-05
h,0.24,56,90,2.02,2.02E-04
h,0.24,41,91,0.75,3.13E-01
h,0.24,28,92,2.35,1.47E-03
h,0.24,12,93,0.65,5.42E-01
h,0.24,24,94,0.12,1.41E-05
h,0.24,29,95,0.5,4.45E-02
h,0.24,41,96,2.52,2.14E-05
h,0.24,20,97,0.33,1.40E-02
h,0.24,13,98,0.39,1.02E-01
h,0.24,11,99,1.57,2.94E-01
h,0.24,26,100,2.09,6.07E-03
h,0.25,289,1,0.67,2.75E-05
h,0.25,190,2,0.69,2.02E-03
h,0.25,1898,3,0.66,6.70E-31
h,0.25,1382,4,0.71,1.32E-15
h,0.25,1666,5,0.77,4.37E-12
h,0.25,2090,6,0.78,1.45E-13
h,0.25,2008,7,0.78,2.19E-12
h,0.25,2045,8,0.95,9.54E-02
h,0.25,2071,9,0.95,1.69E-01
h,0.25,2238,10,1.01,8.06E-01
h,0.25,2050,11,0.92,1.99E-02
h,0.25,2021,12,1.08,2.36E-02
h,0.25,1976,13,1.0,9.59E-01
h,0.25,1794,14,0.99,7.04E-01
h,0.25,1787,15,0.97,3.76E-01
h,0.25,1681,16,1.24,1.70E-09
h,0.25,1663,17,1.14,4.19E-04
h,0.25,1635,18,0.93,5.39E-02
h,0.25,1454,19,0.93,8.45E-02
h,0.25,1400,20,1.22,4.69E-07
h,0.25,1470,21,1.38,2.52E-17
h,0.25,1306,22,1.15,7.58E-04
h,0.25,1091,23,0.97,5.19E-01
h,0.25,1110,24,1.07,1.30E-01
h,0.25,992,25,0.83,1.27E-04
h,0.25,1138,26,1.31,2.71E-10
h,0.25,1049,27,1.05,2.72E-01
h,0.25,893,28,1.03,6.07E-01
h,0.25,1028,29,1.39,4.89E-13
h,0.25,1029,30,1.01,8.11E-01
h,0.25,895,31,0.87,5.48E-03
h,0.25,812,32,1.29,6.32E-07
h,0.25,747,33,1.49,7.01E-14
h,0.25,884,34,1.04,3.78E-01
h,0.25,696,35,1.25,7.59E-05
h,0.25,578,36,1.15,2.19E-02
h,0.25,527,37,1.02,7.64E-01
h,0.25,522,38,1.39,2.94E-07
h,0.25,536,39,1.63,3.32E-15
h,0.25,487,40,1.42,9.13E-08
h,0.25,361,41,1.04,6.28E-01
h,0.25,430,42,1.39,2.63E-06
h,0.25,349,43,0.83,3.39E-02
h,0.25,396,44,1.75,8.22E-15
h,0.25,308,45,1.05,5.99E-01
h,0.25,298,46,1.43,1.83E-05
h,0.25,275,47,1.5,3.84E-06
h,0.25,367,48,0.8,6.25E-03
h,0.25,226,49,0.82,5.83E-02
h,0.25,243,50,1.17,9.48E-02
h,0.25,212,51,1.64,6.22E-07
h,0.25,200,52,1.23,4.82E-02
h,0.25,219,53,1.47,9.48E-05
h,0.25,251,54,1.34,1.68E-03
h,0.25,174,55,1.37,4.29E-03
h,0.25,133,56,1.04,7.39E-01
h,0.25,162,57,1.24,5.93E-02
h,0.25,172,58,1.34,9.04E-03
h,0.25,197,59,1.99,1.41E-11
h,0.25,193,60,1.16,1.56E-01
h,0.25,160,61,2.01,5.55E-10
h,0.25,139,62,0.99,1.00E+00
h,0.25,126,63,2.52,1.92E-13
h,0.25,131,64,1.25,8.04E-02
h,0.25,124,65,1.69,4.59E-05
h,0.25,127,66,1.46,3.09E-03
h,0.25,79,67,0.6,8.05E-03
h,0.25,68,68,0.51,1.37E-03
h,0.25,146,69,2.22,9.37E-12
h,0.25,66,70,0.85,4.69E-01
h,0.25,147,71,2.38,8.84E-14
h,0.25,38,72,0.35,5.32E-04
h,0.25,60,73,1.14,4.78E-01
h,0.25,65,74,1.12,4.99E-01
h,0.25,41,75,1.13,5.42E-01
h,0.25,85,76,1.78,1.84E-04
h,0.25,18,77,0.65,4.06E-01
h,0.25,44,78,1.19,4.03E-01
h,0.25,121,79,0.34,9.39E-11
h,0.25,60,80,0.93,8.46E-01
h,0.25,21,81,0.41,3.16E-02
h,0.25,17,82,0.91,1.00E+00
h,0.25,32,83,0.89,7.93E-01
h,0.25,26,84,0.31,2.52E-03
h,0.25,17,85,1.16,5.68E-01
h,0.25,125,86,11.24,1.43E-75
h,0.25,45,87,2.89,3.49E-07
h,0.25,29,88,1.22,4.57E-01
h,0.25,46,89,3.7,2.65E-10
h,0.25,56,90,1.74,3.28E-03
h,0.25,36,91,0.93,9.01E-01
h,0.25,26,92,2.94,7.40E-05
h,0.25,7,93,0.22,1.01E-01
h,0.25,24,94,0.12,1.41E-05
h,0.25,26,95,0.58,1.37E-01
h,0.25,18,96,1.31,4.40E-01
h,0.25,20,97,0.33,1.40E-02
h,0.25,8,98,0.44,3.45E-01
h,0.25,7,99,1.74,3.01E-01
h,0.25,17,100,3.13,6.34E-04
h,0.26,312,1,0.65,3.88E-06
h,0.26,217,2,0.68,3.89E-04
h,0.26,2040,3,0.68,1.35E-28
h,0.26,1488,4,0.75,3.53E-12
h,0.26,1752,5,0.73,1.12E-17
h,0.26,2191,6,0.82,3.59E-09
h,0.26,2118,7,0.81,4.35E-10
h,0.26,2159,8,0.95,9.74E-02
h,0.26,2209,9,0.99,7.81E-01
h,0.26,2283,10,0.97,2.75E-01
h,0.26,2094,11,0.93,3.22E-02
h,0.26,2078,12,1.1,3.54E-03
h,0.26,1990,13,1.06,9.00E-02
h,0.26,1784,14,0.96,2.34E-01
h,0.26,1802,15,0.99,8.85E-01
h,0.26,1614,16,1.12,2.23E-03
h,0.26,1646,17,1.11,3.88E-03
h,0.26,1591,18,0.98,5.53E-01
h,0.26,1474,19,0.96,3.62E-01
h,0.26,1390,20,1.22,3.76E-07
h,0.26,1433,21,1.4,1.51E-18
h,0.26,1261,22,1.06,1.69E-01
h,0.26,1072,23,1.01,8.70E-01
h,0.26,1092,24,1.05,2.41E-01
h,0.26,1024,25,0.93,1.32E-01
h,0.26,1082,26,1.31,7.61E-10
h,0.26,1010,27,1.06,2.33E-01
h,0.26,863,28,0.99,8.56E-01
h,0.26,1008,29,1.46,6.50E-17
h,0.26,970,30,0.95,2.86E-01
h,0.26,840,31,0.81,7.33E-05
h,0.26,846,32,1.46,5.76E-14
h,0.26,761,33,1.32,2.38E-07
h,0.26,808,34,0.95,3.39E-01
h,0.26,704,35,1.31,7.95E-07
h,0.26,532,36,1.12,7.23E-02
h,0.26,503,37,1.09,1.88E-01
h,0.26,461,38,1.33,2.45E-05
h,0.26,509,39,1.58,7.42E-13
h,0.26,399,40,1.34,7.33E-05
h,0.26,368,41,1.28,1.40E-03
h,0.26,357,42,1.25,3.38E-03
h,0.26,303,43,0.71,2.66E-04
h,0.26,332,44,1.58,7.65E-09
h,0.26,284,45,1.04,6.49E-01
h,0.26,260,46,1.17,7.84E-02
h,0.26,240,47,1.42,1.83E-04
h,0.26,338,48,0.82,1.90E-02
h,0.26,174,49,0.92,5.33E-01
h,0.26,199,50,1.12,2.68E-01
h,0.26,209,51,1.6,2.80E-06
h,0.26,192,52,1.58,1.23E-05
h,0.26,211,53,1.53,1.62E-05
h,0.26,205,54,1.08,4.18E-01
h,0.26,152,55,1.75,1.67E-06
h,0.26,112,56,0.88,4.42E-01
h,0.26,140,57,1.51,8.14E-04
h,0.26,159,58,1.84,7.02E-08
h,0.26,189,59,1.98,3.75E-11
h,0.26,175,60,1.23,6.12E-02
h,0.26,151,61,1.98,3.65E-09
h,0.26,125,62,1.37,1.54E-02
h,0.26,116,63,1.78,1.26E-05
h,0.26,132,64,1.35,1.90E-02
h,0.26,109,65,1.38,2.23E-02
h,0.26,108,66,1.63,3.64E-04
h,0.26,77,67,0.75,1.40E-01
h,0.26,58,68,0.86,5.61E-01
h,0.26,135,69,2.7,2.70E-16
h,0.26,44,70,0.44,2.63E-03
h,0.26,117,71,2.25,8.02E-10
