,0
0.75,"rgb(0.0, 0.0, 255.0)"
0.76,"rgb(0.0, 0.0, 255.0)"
0.77,"rgb(0.0, 0.0, 255.0)"
0.78,"rgb(0.0, 0.0, 255.0)"
0.79,"rgb(0.0, 0.0, 255.0)"
0.8,"rgb(0.0, 0.0, 255.0)"
0.81,"rgb(0.0, 0.0, 255.0)"
0.82,"rgb(0.0, 0.0, 255.0)"
0.83,"rgb(0.0, 0.0, 255.0)"
0.84,"rgb(0.0, 0.0, 255.0)"
0.85,"rgb(0.0, 0.0, 255.0)"
0.86,"rgb(0.0, 0.0, 255.0)"
0.87,"rgb(0.0, 0.0, 255.0)"
0.88,"rgb(0.0, 0.0, 255.0)"
0.89,"rgb(0.0, 0.0, 255.0)"
0.9,"rgb(0.0, 0.0, 255.0)"
0.91,"rgb(0.0, 0.0, 255.0)"
0.92,"rgb(0.0, 0.0, 255.0)"
0.93,"rgb(0.0, 0.0, 255.0)"
0.94,"rgb(0.0, 0.0, 255.0)"
0.95,"rgb(0.0, 0.0, 255.0)"
0.96,"rgb(0.0, 0.0, 255.0)"
0.97,"rgb(0.0, 0.0, 255.0)"
0.98,"rgb(0.0, 0.0, 255.0)"
0.99,"rgb(0.0, 0.0, 255.0)"
1.0,"rgb(0.0, 0.0, 255.0)"
